# x (km)              y (km)
 88327.702384107804  42662.067337906708
 88774.739466414147  43069.353393524099
 89219.670786353105  43475.616596743559
 89662.522425962030  43880.865150177910
 90103.319911689323  44285.107139291649
 90542.088230944646  44688.350534564270
 90978.851848019520  45090.603193613642
 91413.634719407273  45491.872863279226
 91846.460308549664  45892.167181665711
 92277.351600036360  46291.493680146763
 92706.331113281994  46689.859785330089
 93133.420915703624  47087.272820983417
 93558.642635421464  47483.740009922265
 93982.017473503001  47879.268475859899
 94403.566215771221  48273.865245220026
 94823.309244194912  48667.537248912413
 95241.266547879903  49060.291324072641
 95657.457733677424  49452.134215766026
 96071.902036426181  49843.072578656378
 96484.618328843469  50233.112978640442
 96895.625131079840  50622.261894448478
 97304.940619951056  51010.525719211408
 97712.582637861065  51397.910761995612
 98118.568701427939  51784.423249305561
 98522.916009825334  52170.069326555094
 98925.641452850177  52554.855059507987
 99326.761618728502  52938.786435688329
 99726.292801668649  53321.869365761428
100124.251009172513  53704.109684885814
100520.651969114086  54085.513154036911
100915.511136593937  54466.085461303031
101308.843700579004  54845.832223154262
101700.664590334825  55224.758985684792
102090.988481659195  55602.871225829396
102479.829802923719  55980.174352554313
102867.202740931287  56356.673708023663
103253.121246595605  56732.374568741165
103637.599040449859  57107.282146668585
104020.649617990377  57481.401590320464
104402.286254861625  57854.737985836786
